id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
21102559,Modern Studio in Centre Of Antwerp. Great Place!,90573434,Jef,,Borgerhout Intra Muros Noord,51.21749,4.43407,Entire home/apt,,6,40,2019-02-25,0.41,2,0,0,
21381205,201 、Antwerp central station's charming apartment,52106350,Fengyi Inn,,Amandus - Atheneum,51.21885,4.42485,Entire home/apt,99,2,78,2025-09-01,1.01,5,357,14,
21464203,Kamer Adriaan,132999406,Els,,Tuinwijk,51.26717,4.45839,Private room,52,1,293,2025-09-21,3.14,2,26,17,
21750298,Modern Duplex apartment (120 M²),16589114,Valeria,,Groenenhoek,51.19709,4.43731,Private room,53,1,58,2025-07-19,0.61,1,351,5,
21933479,Kamer Alexander,132999406,Els,,Tuinwijk,51.2661,4.45687,Private room,48,1,177,2025-09-20,1.86,2,25,22,
22023486,Spacious and sunny beautiful apartment,110993942,Rev,,Amandus - Atheneum,51.21885,4.4225,Entire home/apt,135,2,41,2022-07-14,0.43,16,0,0,
22181904,"Characteristic Attic Casa Zurenborg, Antwerp",6248736,Paolo,,Zurenborg,51.20612,4.43313,Private room,100,1,126,2025-09-21,1.34,1,74,25,
22191315,A- Toffe studio in het hart van het oude Antwerpen,135610682,Leentje,,Historisch Centrum,51.22154,4.40306,Entire home/apt,86,2,473,2025-09-14,4.99,4,329,46,
22284431,Familiewoning Boekenbergpark vlakbij Antwerpen,6235053,Sara,,Deurne Zuid Oost,51.19451,4.46521,Entire home/apt,,4,3,2018-07-30,0.03,1,0,0,
22742449,Cozy 2 bedroom apartement,110993942,Rev,,Amandus - Atheneum,51.21905,4.42292,Entire home/apt,125,2,27,2025-08-21,0.29,16,0,8,
22760259,D - Knusse studio met zicht op de kathedraal,135610682,Leentje,,Historisch Centrum,51.21955,4.40391,Private room,70,2,314,2025-09-15,3.35,4,337,32,
22924510,Cosy room in a relaxing home.,5413333,Karen,,Wilrijk Centrum,51.16494,4.38828,Private room,66,1,39,2025-08-10,1.00,1,75,12,
22993422,Design City Centre Apartment,170532458,Catherine,,Harmonie,51.20826,4.40887,Entire home/apt,64,2,413,2025-08-31,4.45,2,327,52,
23141079,Lovely spacious house close to parks and tramway,24417341,Marleen,,Deurne Zuid West,51.2017,4.46031,Entire home/apt,73,3,114,2025-06-02,1.26,1,286,11,
23364073,Bright and sunny stylish House!,84498948,Klaar,,Harmonie,51.20511,4.4068,Entire home/apt,262,2,155,2025-09-14,1.68,1,228,22,
